Abaca, n., The Manila-hemp plant (Musa textilis); also
Ample, a., Not contracted of brief; not concise; extended; diffusive; as
Amply, adv., In an ample manner.
Ampul, n., Same as Ampulla
Ampyx, n., A woman's headband (sometimes of metal)
Amsel, n., Alt. of Amzel
Amzel, n., The European ring ousel (Turdus torquatus).
Amuck, a. & adv., In a frenzied and reckless manner.
Amuse, v., To occupy or engage the attention of; to lose in deep thought; to absorb; also
Amuse, v., To entertain or occupy in a pleasant manner; to stir with pleasing or mirthful emotions; to divert.
Amuse, v., To keep in expectation; to beguile; to delude.
Amuse, v. i., To muse; to mediate.
Amyss, n., Same as Amice
Anaks, n. pl., A race of giants living in Palestine.
-ance, , A suffix signifying action; also
Ancle, n., See Ankle.
Ancon, n., The olecranon
Ancon, n., Alt. of Ancone
-ancy, , A suffix expressing more strongly than -ance the idea of quality or state; as
Anear, prep. & adv., Near.
Anear, v. t. & i., To near; to approach.
Anele, v. t., To anoint.
Anele, v. t., To give extreme unction to.
Anent, a., Over against; as
Anent, a., About; concerning; in respect; as
Angel, n., A messenger.
Angel, n., A spiritual
Angel, n., One of a class of 'fallen angels;' an evil spirit; as
Angel, n., A minister or pastor of a church
Angel, n., Attendant spirit; genius; demon.
Angel, n., An appellation given to a person supposed to be of angelic goodness or loveliness; a darling.
Angel, n., An ancient gold coin of England
Anger, n., Trouble; vexation; also
Anger, n., A strong passion or emotion of displeasure or antagonism
Anger, v. t., To make painful; to cause to smart; to inflame.
Anger, v. t., To excite to anger; to enrage; to provoke.
Angle, n., The inclosed space near the point where two lines meet; a corner; a nook.
Angle, n., The figure made by. two lines which meet.
Angle, n., The difference of direction of two lines. In the lines meet
Angle, n., A projecting or sharp corner; an angular fragment.
Angle, n., A name given to four of the twelve astrological 'houses.'
Angle, n., A fishhook; tackle for catching fish
Angle, v. i., To fish with an angle (fishhook)
Angle, v. i., To use some bait or artifice; to intrigue; to scheme; as
Angle, v. t., To try to gain by some insinuating artifice; to allure.
Angor, n., Great anxiety accompanied by painful constriction at the upper part of the belly
Angry, superl., Troublesome; vexatious; rigorous.
Angry, superl., Inflamed and painful
Angry, superl., Touched with anger; under the emotion of anger; feeling resentment; enraged; -- followed generally by with before a person
Angry, superl., Showing anger; proceeding from anger; acting as if moved by anger; wearing the marks of anger; as
Angry, superl., Red.
Angry, superl., Sharp; keen; stimulated.
Anigh, prep. & adv., Nigh.
Anile, a., Old-womanish; imbecile.
Anime, a., Of a different tincture from the animal itself; -- said of the eyes of a rapacious animal.
Anime, n., A resin exuding from a tropical American tree (Hymenaea courbaril)
Animi, pl., of Animus
Anion, n., An electro-negative element
Anise, n., An umbelliferous plant (Pimpinella anisum) growing naturally in Egypt
Anise, n., The fruit or seeds of this plant.
Anker, n., A liquid measure in various countries of Europe. The Dutch anker
Ankle, n., The joint which connects the foot with the leg; the tarsus.
Annat, n., A half years's stipend
Annal, n., See Annals.
Annex, v. t., To join or attach; usually to subjoin; to affix; to append; -- followed by to.
Annex, v. t., To join or add
Annex, v. t., To attach or connect
Annex, v. i., To join; to be united.
Annex, n., Something annexed or appended; as
Annoy, n., To disturb or irritate
Annoy, n., To molest
Annoy, n., A feeling of discomfort or vexation caused by what one dislikes; also
Annul, a., To reduce to nothing; to obliterate.
Annul, a., To make void or of no effect; to nullify; to abolish; to do away with; -- used appropriately of laws
Anode, n., The positive pole of an electric battery
Anoil, v. t., To anoint with oil.
Anomy, n., Disregard or violation of law.
Anona, n., A genus of tropical or subtropical plants of the natural order Anonaceae
Anorn, v. t., To adorn.
Ansae, pl., of Ansa
An 't, , An it
Antae, pl., of Anta
Ante-, , A Latin preposition and prefix; akin to Gr. 'anti`
Antes, n. pl., Antae. See Anta.
Antic, a., Old; antique.
Antic, a., 
Antic, a., Odd; fantastic; fanciful; grotesque; ludicrous.
Antic, n., A buffoon or merry-andrew; one that practices odd gesticulations; the Fool of the old play.
Antic, n., An odd imagery
Antic, n., A grotesque trick; a piece of buffoonery; a caper.
Antic, n., A grotesque representation.
Antic, n., An antimask.
Antic, v. t., To make appear like a buffoon.
Antic, v. i., To perform antics.
Antre, n., A cavern.
Antra, pl., of Antrum
Anura, n. pl., One of the orders of amphibians characterized by the absence of a tail
Anury, n., Nonsecretion or defective secretion of urine; ischury.
Anvil, n., An iron block
Anvil, n., Anything resembling an anvil in shape or use.
Anvil, n., the incus. See Incus.
Anvil, v. t., To form or shape on an anvil; to hammer out; as
Aorta, n., The great artery which carries the blood from the heart to all parts of the body except the lungs; the main trunk of the arterial system.
Apace, adv., With a quick pace; quick; fast; speedily.
Apaid, a., Paid; pleased.
Apair, v. t. & i., To impair or become impaired; to injure.
Apara, n., See Mataco.
Apart, adv., Separately
Apart, adv., In a state of separation
Apart, adv., Aside; away.
Apart, adv., In two or more parts; asunder; to piece; as
Aping, p. pr. & vb. n., of Ape
Apeak, adv. & a., In a vertical line. The anchor in apeak
Apert, a., Open; evident; undisguised.
Apert, adv., Openly.
Apery, n., A place where apes are kept.
Apery, n., The practice of aping; an apish action.
Aphid, n., One of the genus Aphis; an aphidian.
Aphis, n., A genus of insects belonging to the order Hemiptera and family Aphidae
Apian, a., Belonging to bees.
Apiol, n., An oily liquid derived from parsley.
Apish, a., Having the qualities of an ape; prone to imitate in a servile manner. Hence: Apelike; fantastically silly; foppish; affected; trifling.
Apods, pl., of Apode
Apode, n., One of certain animals that have no feet or footlike organs; esp. one of certain fabulous birds which were said to have no feet.
Apoda, n., A group of cirripeds
Apoda, n., An order of Amphibia without feet. See Ophiomorpha.
Apoda, n., A group of worms without appendages
Aport, adv., On or towards the port or left side; -- said of the helm.
Appay, v. t., To pay; to satisfy or appease.
Apple, n., The fleshy pome or fruit of a rosaceous tree (Pyrus malus) cultivated in numberless varieties in the temperate zones.
Apple, n., Any tree genus Pyrus which has the stalk sunken into the base of the fruit; an apple tree.
Apple, n., Any fruit or other vegetable production resembling
Apple, n., Anything round like an apple; as
Apple, v. i., To grow like an apple; to bear apples.
Apply, v. t., To lay or place; to put or adjust (one thing to another); -- with to; as
Apply, v. t., To put to use; to use or employ for a particular purpose
Apply, v. t., To make use of
